task,instruction,is_negative,pywinauto,ocr_only,template,visclick
T01,click Save,False,fail,fail,pass,pass
T02,open File menu,False,fail,pass,pass,pass
T03,click Search icon,False,fail,fail,pass,pass
T04,click first command,False,fail,fail,fail,pass
T05,click search settings,False,fail,pass,pass,pass
T06,click View tab,False,fail,fail,pass,fail
T07,click Properties,False,fail,pass,pass,pass
T08,click address bar,False,fail,fail,pass,pass
T09,click address bar,False,fail,fail,pass,pass
T10,click Clear browsing data,False,fail,fail,pass,pass
T11,toggle Use system proxy,False,fail,fail,fail,pass
T12,click word hello,False,fail,pass,fail,pass
T13,click Commit,False,fail,fail,pass,fail
T14,click first download,False,fail,fail,fail,fail
T15,click Save,True,pass,pass,pass,fail
